"","node1","node2","length","startLat","startLon","endLat","endLon","endNodeL","startNodeL","startYear","endYear","treeID","tipLabel"
"96",264,225,1.4043715799994e-05,50.6321897811648,5.8325026256396,50.6324161672876,5.83245770404515,0.0175439335766,0.0175298898608,2020.17484934428,2020.174863388,410000000,"hCoV-19/Belgium/GS-030549/2020|EPI_ISL_418798|2020-03-05|Europe"
"97",264,224,1.4043715799994e-05,50.6321897811648,5.8325026256396,50.6898347768833,5.19982646460323,0.0175439335766,0.0175298898608,2020.17484934428,2020.174863388,410000000,"hCoV-19/Belgium/GOF-030578/2020|EPI_ISL_420334|2020-03-05|Europe"
"98",265,226,1.4043715799994e-05,50.6321897811648,5.8325026256396,50.6334414355286,5.8487311763691,0.0175439335766,0.0175298898608,2020.17484934428,2020.174863388,410000000,"hCoV-19/Belgium/ULG-3163/2020|EPI_ISL_417006|2020-03-05|Europe"
"99",267,228,0.000230928961799992,50.6470663364798,5.59569228105077,50.6462669054144,5.59593296968727,0.0503308188226,0.0500998898608,2020.20741934428,2020.20765027325,410000000,"hCoV-19/Belgium/WVM-0317325/2020|EPI_ISL_462179|2020-03-17|Europe"
"100",268,229,0.01575901639,50.5741210322456,5.52140416563944,50.592658776508,5.54190519652195,0.0967789062508,0.0810198898608,2020.23833934428,2020.25409836067,410000000,"hCoV-19/Belgium/ULG-10079/2020|EPI_ISL_424639|2020-04-03|Europe"
"102",270,287,1.42087765900301e-05,50.5701574291513,5.60626386313774,50.570336281835,5.60620662403056,0.000759889860790008,0.000745681084199978,2020.15806513551,2020.15807934428,410000000,NA
"103",271,272,0.01619854176,50.5699024189543,5.60742311017086,50.5733829713497,5.61141112101929,0.0494184316242,0.0332198898642,2020.19053934429,2020.20673788605,410000000,NA
"104",272,273,1.14582410399855e-05,50.5733829713497,5.61141112101929,50.5881564643041,5.60508233797245,0.04942988986524,0.0494184316242,2020.20673788605,2020.20674934429,410000000,NA
"107",274,235,0.04099901639,50.6318680642169,5.69134370210858,50.4761143722865,5.60643343204028,0.0967789062552,0.0557798898652,2020.21309934429,2020.25409836068,410000000,"hCoV-19/Belgium/ULG-10065/2020|EPI_ISL_424635|2020-04-03"
"109",287,250,0.06869661202,50.570336281835,5.60620662403056,50.6173124720209,5.94928966575914,0.06945650188079,0.000759889860790008,2020.15807934428,2020.2267759563,410000000,"hCoV-19/Belgium/ULG-0532/2020|EPI_ISL_447132|2020-03-24|Europe"
"110",297,288,6.44808751600057e-06,50.5521819446348,5.66646263533498,50.5521987032648,5.66634178147977,6.44808751600057e-06,0,2020.20217934426,2020.20218579235,410000000,"hCoV-19/Belgium/ULG-6939/2020|EPI_ISL_417020|2020-03-15|Europe"
"111",297,298,0.00906,50.5521819446348,5.66646263533498,50.5517413659118,5.64568071993048,0.00906,0,2020.20217934426,2020.21123934426,410000000,NA
"112",298,301,0.00187,50.5517413659118,5.64568071993048,50.6257769907464,5.57206565318106,0.01093,0.00906,2020.21123934426,2020.21310934426,410000000,NA
"113",298,299,0.0054,50.5517413659118,5.64568071993048,50.5952932649629,5.66679904285135,0.01446,0.00906,2020.21123934426,2020.21663934426,410000000,NA
"115",299,289,0.02653005464,50.5952932649629,5.66679904285135,50.4720336267995,5.90752991244898,0.04099005464,0.01446,2020.21663934426,2020.2431693989,410000000,"hCoV-19/Belgium/ULG-10016/2020|EPI_ISL_421194|2020-03-30|Europe"
"116",300,290,0.00061090934279999,50.5955567787856,5.6657448910037,50.5926893084128,5.54763835285987,0.0163998907098,0.015788981367,2020.21796832563,2020.21857923497,410000000,"hCoV-19/Belgium/ULG-9572/2020|EPI_ISL_418646|2020-03-21|Europe"
"117",300,291,0.00334314978,50.5955567787856,5.6657448910037,50.5652688509715,5.54798852432916,0.019132131147,0.015788981367,2020.21796832563,2020.22131147541,410000000,"hCoV-19/Belgium/ULG-9751/2020|EPI_ISL_418666|2020-03-22|Europe"
"118",301,292,5.40983602100031e-06,50.6257769907464,5.57206565318106,50.6259742992188,5.57195818050627,0.010935409836021,0.01093,2020.21310934426,2020.2131147541,410000000,"hCoV-19/Belgium/ULG-8541/2020|EPI_ISL_418636|2020-03-19|Europe"
"119",301,302,0.01784,50.6257769907464,5.57206565318106,50.6790275159481,5.45391513853729,0.02877,0.01093,2020.21310934426,2020.23094934426,410000000,NA
"120",302,303,0.009781017819,50.6790275159481,5.45391513853729,50.6819983016738,5.45213030934766,0.038551017819,0.02877,2020.23094934426,2020.24073036208,410000000,NA
"121",302,293,0.06413262295,50.6790275159481,5.45391513853729,50.4956424011987,5.45187338154484,0.09290262295,0.02877,2020.23094934426,2020.29508196721,410000000,"hCoV-19/Belgium/ULG-10153/2020|EPI_ISL_447149|2020-04-18|Europe"
"122",303,294,0.002439036826,50.6819983016738,5.45213030934766,50.6847288137272,5.45297064350874,0.040990054645,0.038551017819,2020.24073036208,2020.24316939891,410000000,"hCoV-19/Belgium/ULG-10036/2020|EPI_ISL_427344|2020-03-30|Europe"
"125",346,339,0.02496721311,50.4844661406978,5.59533359676027,50.4856748963227,5.5953530561299,0.02496721311,0,2020.45863934428,2020.48360655739,410000000,"hCoV-19/Belgium/ULG-10238/2020|EPI_ISL_498144|2020-06-26|Europe"
"126",355,352,0.02206897419,50.604780193163,5.47896852390224,50.610361850179,5.38970582397521,0.02206897419,0,2020.46153758319,2020.48360655738,410000000,"hCoV-19/Belgium/ULG-10239/2020|EPI_ISL_498145|2020-06-26"
"127",355,356,0.0001917610788,50.604780193163,5.47896852390224,50.6057575148797,5.4775708066382,0.0001917610788,0,2020.46153758319,2020.46172934427,410000000,NA
"128",356,353,1.92896174599985e-05,50.6057575148797,5.4775708066382,50.6051504042646,5.47779359731144,0.000211050696259998,0.0001917610788,2020.46172934427,2020.46174863389,410000000,"hCoV-19/Belgium/ULG-10234/2020|EPI_ISL_498140|2020-06-18|Europe"
"130",362,363,0.04035,50.644238773122,5.71939397987524,50.6703834026365,5.74169029736788,0.04035,0,2020.6481493443,2020.6884993443,410000000,NA
"131",362,364,0.00117999999999999,50.644238773122,5.71939397987524,50.6441835118095,5.71840836698283,0.00117999999999999,0,2020.6481493443,2020.6493293443,410000000,NA
"132",363,357,0.1202438251,50.6703834026365,5.74169029736788,50.6382946131106,5.70546722478366,0.1605938251,0.04035,2020.6884993443,2020.8087431694,410000000,"hCoV-19/Belgium/ULG-10571/2020|EPI_ISL_626281|2020-10-23|Europe"
"133",363,358,0.02734765027,50.6703834026365,5.74169029736788,50.5734859753555,5.87800936797176,0.06769765027,0.04035,2020.6884993443,2020.71584699457,410000000,"hCoV-19/Belgium/ULG-10744/2020|EPI_ISL_641586|2020-09-19|Europe"
"134",364,359,0.02006956284,50.6441835118095,5.71840836698283,50.6398488069894,5.71872127462748,0.02124956284,0.00117999999999999,2020.6493293443,2020.66939890714,410000000,"hCoV-19/Belgium/ULG-10605/2020|EPI_ISL_626244|2020-09-02|Europe"
"136",372,373,0.02067,50.5971507808555,5.58276246588318,50.5974920055034,5.58385233121987,0.02067,0,2020.75903934426,2020.77970934426,410000000,NA
"137",373,367,0.02903382514,50.5974920055034,5.58385233121987,50.549795129899,5.45297487731747,0.04970382514,0.02067,2020.77970934426,2020.8087431694,410000000,"hCoV-19/Belgium/ULG-10562/2020|EPI_ISL_626323|2020-10-23|Europe"
"138",373,374,0.0249,50.5974920055034,5.58385233121987,50.6108323958379,5.60387935522628,0.04557,0.02067,2020.77970934426,2020.80460934426,410000000,NA
