node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,tipLabel,startProvince,endProvince,startCommune,endCommune
59,60,0.00462000000000001,645926.626819961,752809.823279374,646749.966259222,749605.570006883,0.1597399999997,0.1551199999997,2020.22978934426,2020.23440934426,230800000,NA,Liège,Liège,4800,4651
60,21,0.03061797814,646749.966259222,749605.570006883,650522.756497308,732809.047279166,0.1903579781397,0.1597399999997,2020.23440934426,2020.2650273224,230800000,hCoV-19/Belgium/ULG-10120/2020|EPI_ISL_427368|2020-04-07|Europe,Liège,Liège,4651,4430
60,61,0.06302,646749.966259222,749605.570006883,643976.485429719,754878.63039369,0.2227599999997,0.1597399999997,2020.23440934426,2020.29742934426,230800000,NA,Liège,Liège,4651,4800
61,23,0.0003848633878,643976.485429719,754878.63039369,643959.049850983,754891.481382912,0.2231448633875,0.2227599999997,2020.29742934426,2020.29781420765,230800000,hCoV-19/Belgium/ULG-10166/2020|EPI_ISL_447160|2020-04-19|Europe,Liège,Liège,4800,4800
61,22,0.06049415301,643976.485429719,754878.63039369,638372.420047356,748648.305347315,0.2832541530097,0.2227599999997,2020.29742934426,2020.35792349727,230800000,hCoV-19/Belgium/ULG-10187/2020|EPI_ISL_455975|2020-05-11|Europe,Liège,Liège,4800,4860
62,64,0.01234,642418.167451513,756267.348848599,644894.379740408,769903.751859405,0.12155,0.10921,2020.18387934426,2020.19621934426,230800000,NA,Liège,Liège,4800,4700
64,66,0.02723322191,644894.379740408,769903.751859405,645024.097814412,770131.088165534,0.14878322191,0.12155,2020.19621934426,2020.22345256617,230800000,NA,Liège,Liège,4700,4700
66,67,0.01886677809,645024.097814412,770131.088165534,646084.656652624,764441.190574459,0.16765,0.14878322191,2020.22345256617,2020.24231934426,230800000,NA,Liège,Liège,4700,4837
66,77,0.000576778090700003,645024.097814412,770131.088165534,629401.071652596,780385.811062342,0.1493600000007,0.14878322191,2020.22345256617,2020.22402934426,230800000,NA,Liège,Liège,4700,4750
67,68,0.01,646084.656652624,764441.190574459,657863.672694108,766505.970890954,0.17765,0.16765,2020.24231934426,2020.25231934426,230800000,NA,Liège,Liège,4837,4720
67,28,0.06642382514,646084.656652624,764441.190574459,646296.926581069,770458.710420444,0.23407382514,0.16765,2020.24231934426,2020.3087431694,230800000,hCoV-19/Belgium/rega-0423298/2020|EPI_ISL_462152|2020-04-23|Europe,Liège,Liège,4837,4700
68,69,0.00223999999999999,657863.672694108,766505.970890954,657899.301528512,766546.727493671,0.17989,0.17765,2020.25231934426,2020.25455934426,230800000,NA,Liège,Liège,4720,4720
69,30,0.00227125683000001,657899.301528512,766546.727493671,657927.063427382,766429.439593586,0.18216125683,0.17989,2020.25455934426,2020.25683060109,230800000,hCoV-19/Belgium/ULG-10088/2020|EPI_ISL_424646|2020-04-04|Europe,Liège,Liège,4720,4720
69,70,0.00225,657899.301528512,766546.727493671,656993.154505021,765413.553777671,0.18214,0.17989,2020.25455934426,2020.25680934426,230800000,NA,Liège,Liège,4720,4720
70,31,2.12568304900074e-05,656993.154505021,765413.553777671,656989.733276588,765408.717953456,0.18216125683049,0.18214,2020.25680934426,2020.25683060109,230800000,hCoV-19/Belgium/ULG-10089/2020|EPI_ISL_424643|2020-04-04|Europe,Liège,Liège,4720,4720
70,71,0.00273000000000001,656993.154505021,765413.553777671,616030.956569478,786566.45646624,0.18487,0.18214,2020.25680934426,2020.25953934426,230800000,NA,Liège,Liège,4720,4760
71,72,0.0304,616030.956569478,786566.45646624,658546.627751339,766549.653110464,0.21527,0.18487,2020.25953934426,2020.28993934426,230800000,NA,Liège,Liège,4760,4720
71,32,2.34972676199929e-05,616030.956569478,786566.45646624,615930.806896374,786406.19476851,0.18489349726762,0.18487,2020.25953934426,2020.25956284153,230800000,hCoV-19/Belgium/ULG-10095/2020|EPI_ISL_424651|2020-04-05|Europe,Liège,Liège,4760,4760
72,73,0.00237999999999999,658546.627751339,766549.653110464,658572.090609936,766666.107515714,0.21765,0.21527,2020.28993934426,2020.29231934426,230800000,NA,Liège,Liège,4720,4721
72,33,0.01880382514,658546.627751339,766549.653110464,658783.295988931,766118.214824313,0.23407382514,0.21527,2020.28993934426,2020.3087431694,230800000,hCoV-19/Belgium/rega-0423301/2020|EPI_ISL_462155|2020-04-23|Europe,Liège,Liège,4720,4720
73,34,3.03825135899993e-05,658572.090609936,766666.107515714,646449.190925206,771617.018533861,0.21768038251359,0.21765,2020.29231934426,2020.29234972677,230800000,hCoV-19/Belgium/ULG-10146/2020|EPI_ISL_447138|2020-04-17|Europe,Liège,Liège,4721,4700
73,74,0.0115,658572.090609936,766666.107515714,658460.877163448,766778.11529579,0.22915,0.21765,2020.29231934426,2020.30381934426,230800000,NA,Liège,Liège,4721,4721
74,35,0.00492382513699999,658460.877163448,766778.11529579,616954.073209157,791301.149303881,0.234073825137,0.22915,2020.30381934426,2020.3087431694,230800000,hCoV-19/Belgium/rega-0423299/2020|EPI_ISL_462153|2020-04-23|Europe,Liège,Liège,4721,4760
